Tamanho do step (n),Tempo gasto,Uso de Memória (bytes)
1000000,0.0,15548416
900000,0.05,15556608
810000,0.04,15556608
729000,0.04,15556608
656100,0.03,15556608
590490,0.03,15556608
531441,0.03,15556608
478297,0.08,15556608
430468,0.07,15556608
387422,0.06,15556608
348680,0.05,15556608
313812,0.1,15556608
282431,0.09,15556608
254188,0.08,15560704
228770,0.12,15560704
205893,0.11,15560704
185304,0.15,15560704
166774,0.13,15560704
150097,0.17,15560704
135088,0.2,15560704
121580,0.23,15560704
109422,0.26,15560704
98480,0.29,15560704
88632,0.31,15560704
79769,0.33,15560704
71793,0.34,15560704
64614,0.41,15560704
58153,0.47,15560704
52338,0.52,15560704
47105,0.57,15560704
42395,0.62,15560704
38156,0.7,15560704
34341,0.79,15560704
30907,0.86,15564800
27817,0.92,15564800
25036,1.04,15564800
22533,1.17,15564800
20280,1.29,15564800
18252,1.42,15564800
16427,1.58,15568896
14785,1.77,15568896
13307,2.02,15568896
11977,2.2,15568896
10780,2.41,15568896
9702,2.72,15568896
8732,3.0,15568896
7859,3.36,15601664
7074,3.78,15601664
6367,4.24,15605760
5731,4.98,15605760
5158,5.36,15605760
4643,6.12,15605760
4179,7.07,15548416
3762,8.0,15548416
3386,8.33,15552512
3048,8.71,15552512
2744,9.51,15552512
2470,10.71,15556608
2223,11.89,15556608
2001,13.46,15527936
1801,14.76,15532032
1621,16.17,15532032
1459,18.63,15540224
1314,20.87,15548416
1183,22.77,15548416
1065,26.07,15556608
959,28.16,15568896
864,30.99,15568896
778,34.89,15568896
701,37.97,15577088
631,42.91,15593472
568,48.33,15593472
512,52.74,15605760
461,59.12,15618048
415,64.29,15630336
374,70.84,15642624
337,78.91,15712256
304,87.06,15712256
274,97.46,15712256
247,107.99,15712256
223,118.33,15728640
201,132.21,15798272
181,146.41,15355904
163,164.57,15388672
147,182.23,15413248
133,199.9,11104256
120,220.59,10223616
108,248.18,10395648
